[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorScheduler.MonitorScheduler.parseIntervalKey.__type.monitorId (Property), defined in uptime-watcher/electron/services/monitoring/MonitorScheduler.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorScheduler.MonitorScheduler.parseIntervalKey.__type.siteIdentifier (Property), defined in uptime-watcher/electron/services/monitoring/MonitorScheduler.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.createMonitorWithTypeGuards.__type.errors (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.createMonitorWithTypeGuards.__type.monitor (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.createMonitorWithTypeGuards.__type.success (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.migrateMonitorType.__type.appliedMigrations (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.migrateMonitorType.__type.data (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.migrateMonitorType.__type.errors (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.migrateMonitorType.__type.success (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.BaseMonitorConfig.uiConfig.__type.display.__type.showAdvancedMetrics (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.BaseMonitorConfig.uiConfig.__type.display.__type.showUrl (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.BaseMonitorConfig.uiConfig.__type.helpTexts.__type.primary (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.BaseMonitorConfig.uiConfig.__type.helpTexts.__type.secondary (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.chartFormatters.__type.advanced (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.chartFormatters.__type.responseTime (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.chartFormatters.__type.uptime (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.display.__type.showAdvancedMetrics (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.display.__type.showPort (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.display.__type.showUrl (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.helpTexts.__type.primary (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/MonitorTypeRegistry.MonitorUIConfig.helpTexts.__type.secondary (Property), defined in uptime-watcher/electron/services/monitoring/MonitorTypeRegistry.ts, does not have any documentation
[warning] electron/services/monitoring/OperationTimeoutManager.OperationTimeoutManager.timeouts (Property), defined in uptime-watcher/electron/services/monitoring/OperationTimeoutManager.ts, does not have any documentation
[warning] electron/services/monitoring/PingMonitor.PingMonitor.config (Property), defined in uptime-watcher/electron/services/monitoring/PingMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/PortMonitor.PortMonitor.config (Property), defined in uptime-watcher/electron/services/monitoring/PortMonitor.ts, does not have any documentation
[warning] electron/services/notifications/NotificationService.NotificationService.config (Property), defined in uptime-watcher/electron/services/notifications/NotificationService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteServiceDependencies.databaseService (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteServiceDependencies.historyRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteServiceDependencies.monitorRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteServiceDependencies.siteRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteService.databaseService (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteService.historyRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteService.monitorRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/site/SiteService.SiteService.siteRepository (Property), defined in uptime-watcher/electron/services/site/SiteService.ts, does not have any documentation
[warning] electron/services/updater/AutoUpdaterService.UpdateStatusData.error (Property), defined in uptime-watcher/electron/services/updater/AutoUpdaterService.ts, does not have any documentation
[warning] electron/services/updater/AutoUpdaterService.UpdateStatusData.status (Property), defined in uptime-watcher/electron/services/updater/AutoUpdaterService.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.cache (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config.__type.defaultTTL (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config.__type.enableStats (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config.__type.eventEmitter (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config.__type.maxSize (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.config.__type.name (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.invalidationCallbacks (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.stats (Property), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/cache/StandardizedCache.StandardizedCache.updateSize (CallSignature), defined in uptime-watcher/electron/utils/cache/StandardizedCache.ts, does not have any documentation
[warning] electron/utils/database/DataBackupService.DataBackupService.eventEmitter (Property), defined in uptime-watcher/electron/utils/database/DataBackupService.ts, does not have any documentation
[warning] electron/utils/database/DataBackupService.DataBackupService.logger (Property), defined in uptime-watcher/electron/utils/database/DataBackupService.ts, does not have any documentation
[warning] electron/utils/database/DataBackupService.DataBackupService.downloadDatabaseBackup.__type.buffer (Property), defined in uptime-watcher/electron/utils/database/DataBackupService.ts, does not have any documentation
[warning] electron/utils/database/DataBackupService.DataBackupService.downloadDatabaseBackup.__type.fileName (Property), defined in uptime-watcher/electron/utils/database/DataBackupService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.databaseService (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.eventEmitter (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.logger (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.repositories (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.repositories.__type.history (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.repositories.__type.settings (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportConfig.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.ImportSite.identifier (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.ImportSite.monitors (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.ImportSite.name (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.DATABASE_ERROR_EVENT (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.databaseService (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.eventEmitter (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.logger (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.repositories (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.repositories.__type.history (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.repositories.__type.settings (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.importDataFromJson.__type.settings (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/DataImportExportService.DataImportExportService.importDataFromJson.__type.sites (Property), defined in uptime-watcher/electron/utils/database/DataImportExportService.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteLoadingConfig.repositories.__type.history (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteLoadingConfig.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteLoadingConfig.repositories.__type.settings (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteLoadingConfig.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteWritingConfig.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/interfaces.SiteWritingConfig.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/interfaces.ts, does not have any documentation
[warning] electron/utils/database/serviceFactory.LoggerAdapter.logger (Property), defined in uptime-watcher/electron/utils/database/serviceFactory.ts, does not have any documentation
[warning] electron/utils/database/serviceFactory.LoggerAdapter.debug (CallSignature), defined in uptime-watcher/electron/utils/database/serviceFactory.ts, does not have any documentation
[warning] electron/utils/database/serviceFactory.LoggerAdapter.error (CallSignature), defined in uptime-watcher/electron/utils/database/serviceFactory.ts, does not have any documentation
[warning] electron/utils/database/serviceFactory.LoggerAdapter.info (CallSignature), defined in uptime-watcher/electron/utils/database/serviceFactory.ts, does not have any documentation
[warning] electron/utils/database/serviceFactory.LoggerAdapter.warn (CallSignature), defined in uptime-watcher/electron/utils/database/serviceFactory.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteLoadingOrchestrator.siteRepositoryService (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteLoadingOrchestrator.loadSitesFromDatabase.__type.message (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteLoadingOrchestrator.loadSitesFromDatabase.__type.sitesLoaded (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteLoadingOrchestrator.loadSitesFromDatabase.__type.success (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.eventEmitter (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.logger (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.repositories (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.repositories.__type.history (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.repositories.__type.settings (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteRepositoryService.SiteRepositoryService.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/SiteRepositoryService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService (Class), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService.databaseService (Property), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService.logger (Property), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService.repositories (Property), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService.repositories.__type.monitor (Property), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/database/SiteWriterService.SiteWriterService.repositories.__type.site (Property), defined in uptime-watcher/electron/utils/database/SiteWriterService.ts, does not have any documentation
[warning] electron/utils/monitoring/monitorLifecycle.MonitoringLifecycleConfig.siteService.__type.findByIdentifierWithDetails (Property), defined in uptime-watcher/electron/utils/monitoring/monitorLifecycle.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.details (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.id (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.monitorId (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.responseTime (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.status (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/historyMapper.HistoryRow.timestamp (Property), defined in uptime-watcher/electron/services/database/utils/historyMapper.ts, does not have any documentation
[warning] electron/services/database/utils/settingsMapper.SettingRow.key (Property), defined in uptime-watcher/electron/services/database/utils/settingsMapper.ts, does not have any documentation
[warning] electron/services/database/utils/settingsMapper.SettingRow.value (Property), defined in uptime-watcher/electron/services/database/utils/settingsMapper.ts, does not have any documentation
[warning] electron/services/database/utils/typedQueries.CountResult.count (Property), defined in uptime-watcher/electron/services/database/utils/typedQueries.ts, does not have any documentation
[warning] electron/services/database/utils/typedQueries.IdOnlyResult (Interface), defined in uptime-watcher/electron/services/database/utils/typedQueries.ts, does not have any documentation
[warning] electron/services/database/utils/typedQueries.IdOnlyResult.id (Property), defined in uptime-watcher/electron/services/database/utils/typedQueries.ts, does not have any documentation
[warning] electron/services/monitoring/shared/monitorServiceHelpers.extractMonitorConfig.__type.retryAttempts (Property), defined in uptime-watcher/electron/services/monitoring/shared/monitorServiceHelpers.ts, does not have any documentation
[warning] electron/services/monitoring/shared/monitorServiceHelpers.extractMonitorConfig.__type.timeout (Property), defined in uptime-watcher/electron/services/monitoring/shared/monitorServiceHelpers.ts, does not have any documentation
[warning] electron/services/monitoring/shared/monitorServiceHelpers.DEFAULT_REQUEST_TIMEOUT (Variable), defined in uptime-watcher/electron/services/monitoring/shared/monitorServiceHelpers.ts, does not have any documentation
[warning] electron/services/monitoring/shared/monitorServiceHelpers.DEFAULT_RETRY_ATTEMPTS (Variable), defined in uptime-watcher/electron/services/monitoring/shared/monitorServiceHelpers.ts, does not have any documentation
[warning] electron/services/monitoring/utils/monitorTypeGuards.hasValidRetryAttempts.__type.retryAttempts (Property), defined in uptime-watcher/electron/services/monitoring/utils/monitorTypeGuards.ts, does not have any documentation
[warning] electron/services/monitoring/utils/monitorTypeGuards.hasValidTimeout.__type.timeout (Property), defined in uptime-watcher/electron/services/monitoring/utils/monitorTypeGuards.ts, does not have any documentation
[warning] electron/services/monitoring/utils/monitorTypeGuards.hasValidHost.__type.host (Property), defined in uptime-watcher/electron/services/monitoring/utils/monitorTypeGuards.ts, does not have any documentation
[warning] electron/services/monitoring/utils/monitorTypeGuards.hasValidPort.__type.port (Property), defined in uptime-watcher/electron/services/monitoring/utils/monitorTypeGuards.ts, does not have any documentation
[warning] electron/services/monitoring/utils/monitorTypeGuards.hasValidUrl.__type.url (Property), defined in uptime-watcher/electron/services/monitoring/utils/monitorTypeGuards.ts, does not have any documentation
[warning] shared/types.isComputedSiteStatus (CallSignature), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.isMonitorStatus (CallSignature), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.isSiteStatus (CallSignature), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorStatusConstants.DOWN (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorStatusConstants.PAUSED (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorStatusConstants.PENDING (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorStatusConstants.UP (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorFieldDefinition.options.__type.label (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.MonitorFieldDefinition.options.__type.value (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.Site (Interface), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.Site.identifier (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.Site.monitoring (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.Site.monitors (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.Site.name (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.SiteForStatus.monitors (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.SiteForStatus.monitors.__type.monitoring (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.SiteForStatus.monitors.__type.status (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusHistory (Interface), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusHistory.details (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusHistory.responseTime (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusHistory.status (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusHistory.timestamp (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate (Interface), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.details (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.monitorId (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.previousStatus (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.site (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.siteIdentifier (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.status (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types.StatusUpdate.timestamp (Property), defined in uptime-watcher/shared/types.ts, does not have any documentation
[warning] shared/types/chartConfig.hasPlugins.__type.plugins (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.hasScales.__type.scales (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartConfig.animation.__type.duration (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartConfig.animation.__type.easing (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartConfig.interaction.__type.intersect (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartConfig.interaction.__type.mode (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.boxHeight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.boxWidth (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.color (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.font (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.font.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.font.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.font.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.font.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.padding (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartLegendConfig.labels.__type.usePointStyle (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.grid.__type.color (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.grid.__type.display (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.grid.__type.lineWidth (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.callback (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.color (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.font (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.font.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.font.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.font.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.font.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.max (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.min (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.precision (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.ticks.__type.stepSize (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.color (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.display (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.font (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.font.__type.family (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.font.__type.size (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.font.__type.style (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
[warning] shared/types/chartConfig.ChartScaleConfig.title.__type.font.__type.weight (Property), defined in uptime-watcher/shared/types/chartConfig.ts, does not have any documentation
